country,top1,top2,top3,top4,top5,val1,val2,val3,val4,val5
mar,84,77,56,5,3,3.154643693,3.110977756,1.924243482,1.732824781,1.678596447
dom,97,87,12,84,89,1.240215313,0.791760385,0.594727275,0.578141568,0.571477498
abw,11,12,89,93,28,0.079675649,0.044759778,0.00955942,0.003984542,0.002916009
afg,93,65,7,22,29,0.37132213,0.073225738,0.061123964,0.009110651,0.0001905
alb,33,84,67,28,85,0.667065011,0.327123034,0.189791325,0.188771164,0.187206415
and,89,77,78,84,88,0.024407582,0.017119303,0.015901944,0.005293352,0.005105447
arg,8,78,4,42,22,12.03867445,10.06643428,9.1753442,4.820309445,4.554657211
arm,28,11,68,66,67,0.313855584,0.207431427,0.190380038,0.12817901,0.102745274
atg,65,93,79,69,28,0.009765547,0.00437412,0.002536732,0.001903452,0.001332107
aus,28,32,34,97,93,86.14793005,38.61910665,15.25500071,13.40479877,11.87564754
aut,78,93,77,74,54,14.67375783,13.45040113,11.61382962,10.41268801,9.972718236
aze,33,93,34,5,6,20.2638422,1.343165052,0.732598033,0.273856064,0.24384016
bdi,97,7,28,55,12,0.119825184,0.043164085,0.010920688,0.008252807,0.004108834
bel,93,54,78,51,58,65.42423441,53.47177375,48.4002561,36.72296974,29.21884398
ben,26,5,67,93,97,0.236184786,0.079651575,0.060865829,0.034905806,0.021505342
bfa,97,26,93,22,5,1.48438846,0.441107962,0.231745155,0.207732526,0.069737767
bgr,93,68,77,4,84,4.577013606,3.566122676,2.15299897,1.846517411,1.774459532
bhr,93,68,78,89,28,10.14733357,2.679373326,1.036841147,0.770098491,0.680467036
bhs,93,58,3,51,55,0.238702749,0.184675056,0.090926976,0.061628356,0.045227104
bih,82,68,67,93,35,0.559591393,0.351373243,0.33423721,0.327974392,0.320267919
blr,93,56,2,78,72,11.7368237,2.4638373,2.3261164,2.1308624,1.5695255
blz,5,33,6,93,3,0.123459841,0.070121973,0.05758451,0.057361184,0.05649741
bmu,89,79,76,87,74,0.013235526,0.001934065,0.001865086,0.000718176,0.000700623
bol,34,28,8,97,68,6.116792248,1.941901332,0.643179873,0.537712909,0.515204883
bra,28,22,1,78,33,37.43732938,22.92345688,16.3004226,13.57546673,13.22657055
brb,93,11,54,89,33,0.131221397,0.052566321,0.046811905,0.044017599,0.024310113
brn,34,33,51,72,87,5.930947846,5.118250504,0.082166567,0.038704735,0.034224041
bwa,66,28,1,27,78,6.205250508,0.589388214,0.118266023,0.104075235,0.064208582
caf,27,24,26,72,78,0.022174143,0.019375223,0.002828627,0.001667504,0.00112797
can,33,78,93,68,97,81.01093338,58.38979333,37.08077669,16.61389559,16.35139611
che,54,88,89,51,77,62.38265724,23.93551776,21.5323178,13.07283598,10.31924101
chl,68,28,5,3,25,23.28489584,20.3396811,6.28405456,4.459850839,2.806239108
chn,77,76,75,84,89,294.8321398,225.521917,215.6397459,177.5911312,154.2970274
civ,7,93,79,33,23,3.213097726,1.794290338,1.741807657,1.024663405,0.760800824
cog,33,79,34,24,72,7.666910867,2.276141195,0.211538212,0.097891481,0.041760773
col,33,32,93,7,97,27.66571193,6.687897449,4.412523515,2.269558765,2.256116721
cpv,3,61,84,11,4,0.058321617,0.005061809,0.004279036,0.000798471,0.000282389
cri,77,5,87,89,9,2.986270379,2.202249342,1.170093823,0.655294855,0.47520859
cym,0,0,0,0,0,0,0,0,0,0
cyp,93,54,79,5,2,0.358267269,0.323753392,0.226239804,0.147584092,0.105727192
cze,78,77,75,74,89,28.71951224,15.83045015,11.27488246,11.08037479,8.393069696
deu,78,93,77,74,54,236.9752784,112.1488127,107.7227251,104.0615986,75.10594243
dnk,93,74,54,1,33,15.3581757,7.016408473,6.644715419,5.45118765,4.948158763
dza,33,34,93,52,6,31.44781248,25.67652387,7.769572854,0.343778158,0.2757046
ecu,33,3,5,29,7,13.55442245,3.432541503,2.697419378,0.849392656,0.75536974
egy,33,93,5,34,65,3.252511986,2.754781925,2.406015836,1.55969611,1.507520313
esp,78,93,5,54,77,48.35189651,30.82896358,18.81383971,13.748354,12.24994785
est,93,77,76,63,78,3.018426804,1.2352626,1.176547678,0.843701775,0.761016685
eth,5,7,29,22,0,0.882263876,0.802788463,0.609205835,0.561264595,0.267264095
fin,93,64,72,67,77,13.62084166,7.411338974,5.029700367,4.691552482,4.008904752
fji,93,3,11,6,4,0.333283698,0.134238164,0.094420666,0.086240252,0.064086507
fra,79,78,54,93,77,60.08079624,44.96520141,37.78193583,34.19815193,33.60187068
fsm,3,5,9,63,29,0.023137258,0.003852216,0.000351274,0.000074061,0.000073466
gbr,97,93,78,71,54,80.22991849,62.39066048,48.96825133,34.65327372,32.86107288
geo,78,67,11,28,5,0.767980353,0.377701882,0.356274286,0.227719216,0.205615431
gha,97,33,7,5,24,5.385540631,3.016596661,1.468982776,0.482060393,0.25686812
gmb,65,5,78,6,2,0.067860476,0.007276454,0.004661597,0.003407088,0.002689386
grc,93,5,68,54,84,14.40831844,2.492598314,1.97061965,1.396125537,0.967337544
grl,3,93,97,79,61,0.4149094,0.050613027,0.012151839,0.005356444,0.002117055
gtm,84,5,6,7,28,1.318022081,1.237508012,1.050155754,0.951597588,0.550069987
guy,97,4,28,6,3,0.644207849,0.243280765,0.139132215,0.11664925,0.089491477
hkg,77,97,76,75,89,128.8154098,76.22926755,75.06150086,45.70137994,28.89378553
hrv,93,77,54,24,84,1.349877536,0.974376256,0.545082753,0.541872888,0.517539619
hun,78,77,76,71,93,13.16846998,12.02953216,9.999868715,9.593118479,6.04883482
idn,32,34,42,33,28,24.51495116,18.12919465,17.67111019,13.14721443,8.39402042
ind,93,66,65,84,89,72.99800342,32.99949542,18.9512304,16.87284179,14.61478917
irl,54,51,55,89,87,27.67056388,25.13027107,8.294617442,6.532308324,4.753614312
irq,33,93,51,21,58,89.22425,0.335332953,0.13735,0.013049181,0.012765
isl,3,68,8,67,41,1.935723324,1.865772195,0.219704078,0.165997212,0.135676869
isr,66,77,54,59,87,19.49313,6.866909,6.096017,4.904267,3.073502
ita,74,78,93,72,54,51.66671596,34.97001975,33.96223276,29.33473599,24.91977355
jam,28,93,51,11,5,0.674302731,0.341873001,0.085612768,0.083695712,0.067668265
jor,84,56,5,54,52,1.150319829,0.895789321,0.72410468,0.722360499,0.422509718
jpn,78,77,93,72,74,146.818065,85.96083071,68.82316728,44.60752258,40.90707243
kaz,33,68,34,28,93,57.33189348,4.825567553,3.384449018,3.324825623,3.192804737
ken,7,29,5,93,84,1.429433903,0.589439217,0.419089842,0.311041147,0.283162828
kgz,97,93,5,84,78,0.73678217,0.187400491,0.163518663,0.105481976,0.081988903
khm,84,89,78,85,4,5.025329818,2.301392916,0.414543231,0.358795221,0.259777622
kir,42,93,22,3,29,0.002256195,0.002220473,0.000833224,0.000617108,0.000204843
kor,77,78,93,79,76,96.47019275,72.32656082,55.43970607,37.99540095,37.36520328
kwt,33,93,34,58,51,79.04738767,25.00511692,3.764813804,1.628195488,1.42306243
