country,top1,top2,top3,top4,top5,val1,val2,val3,val4,val5
mar,84,5,3,52,77,2.104506226,0.812598654,0.773578321,0.556350332,0.464571542
dom,84,87,77,67,61,1.669395895,0.289574161,0.236275784,0.20979934,0.189527457
ago,33,66,3,34,93,3.911267958,0.228679699,0.028981556,0.026127871,0.009577885
abw,33,4,93,79,32,0.676886437,0.016737521,0.007800563,0.006090219,0.002126977
afg,5,26,33,65,29,0.025081967,0.022902586,0.021333657,0.013630298,0.00677632
aia,51,89,69,72,3,0.000659748,0.000474656,0.000429775,0.00036632,0.000349943
alb,84,61,67,28,35,0.067071916,0.065898992,0.016144006,0.015612294,0.012027805
and,89,84,12,78,33,0.010665549,0.006076249,0.00479202,0.003170367,0.002020827
ant,33,4,66,93,79,0.934261473,0.13337746,0.118666105,0.080490777,0.032871381
are,33,34,68,84,89,15.29831061,1.708381388,0.480143331,0.450315791,0.250948998
arg,33,4,8,42,78,2.95608192,2.764314831,2.372055036,1.732131311,1.394725283
arm,66,11,28,71,84,0.040811521,0.010770365,0.007243672,0.006124178,0.004123291
atf,65,72,84,58,89,0.000461616,0.000327657,0.000048941,0.000025582,0.000009817
atg,79,97,93,3,76,0.027515336,0.00488632,0.001958833,0.001686265,0.001610624
aus,28,32,97,4,68,6.742942168,6.017726608,3.709992573,3.563772477,3.238212744
aut,78,77,74,64,72,4.173858863,3.281263755,3.051911067,2.843245681,2.687160468
aze,33,5,26,74,65,0.124875651,0.027342423,0.024477313,0.021248396,0.016162752
bdi,7,97,32,21,5,0.055122867,0.017848145,0.002127503,0.00134802,0.001194115
bel,78,66,67,58,65,20.00459045,11.84125271,8.011963889,7.94845366,5.713834604
ben,26,22,33,5,52,0.171067296,0.021844661,0.012140894,0.010292561,0.004187519
bfa,26,33,97,61,5,0.0489108,0.022888828,0.011343414,0.0088973,0.00617257
bgd,84,3,65,61,26,2.577471559,0.327298474,0.298595351,0.183854868,0.082642425
bgr,84,67,68,56,33,0.417110129,0.405462992,0.366625494,0.288916038,0.223931422
bhr,68,33,78,84,28,0.622737094,0.608925722,0.097549068,0.067977789,0.058267033
bhs,79,11,54,3,51,0.184515639,0.073365244,0.066327453,0.057118796,0.050695978
bih,24,84,82,78,85,0.074244678,0.026561616,0.019231902,0.018156842,0.017952132
blr,93,33,56,84,78,2.618143759,0.162997049,0.151353359,0.150364295,0.129182242
blz,3,5,6,84,2,0.062912798,0.061946562,0.053361191,0.015882656,0.004855389
bmu,79,93,51,33,11,0.148551645,0.109672016,0.031697508,0.007795566,0.005048237
bol,28,8,34,89,68,0.138359313,0.092483421,0.088446871,0.087499112,0.085139704
bra,67,28,8,78,7,3.984186641,3.750137497,3.022310785,2.651025006,2.191875274
brb,79,6,77,9,69,0.041881255,0.033977914,0.014148852,0.012033587,0.011395527
brn,33,34,89,88,84,1.046581484,0.991895756,0.298365585,0.081130201,0.073210398
btn,52,67,24,63,5,0.008803268,0.007336546,0.00681946,0.005702165,0.003604235
caf,66,7,26,24,6,0.102120811,0.011899579,0.009291033,0.009196656,0.006589276
can,78,64,33,24,93,39.02816172,10.12264723,10.01607772,8.995475876,7.588997098
cck,69,5,7,26,68,0.001038459,0.00070876,0.000601372,0.000347064,0.000326241
che,54,88,72,66,51,7.788906182,6.35486055,6.026402954,5.347983767,5.337653937
chl,68,28,5,3,24,3.783866303,2.266790902,2.041687823,1.015873005,0.709285905
chn,84,89,77,76,85,37.00627989,31.53970759,17.73426476,17.52510638,15.87638964
civ,7,33,24,5,3,1.979329645,0.366240954,0.276102373,0.268193031,0.237368065
cmr,33,24,7,5,68,0.644414623,0.422256993,0.350435435,0.142140693,0.10297823
cod,66,68,33,7,24,0.776385761,0.212208498,0.149067621,0.107057512,0.071770124
cog,33,66,24,63,93,0.704063957,0.586417987,0.096791519,0.025476431,0.010427727
cok,66,5,29,26,3,0.001827282,0.001662808,0.000676351,0.000457963,0.000344985
col,33,7,32,5,29,2.537379113,1.853845409,0.796810163,0.704220486,0.555188728
com,7,55,79,3,77,0.005430619,0.004631357,0.00444788,0.003716937,0.00037615
cpv,85,61,3,84,67,0.003469413,0.002927487,0.002609215,0.00219283,0.000958646
cri,5,84,7,29,77,1.27774634,0.677013383,0.408730031,0.158218151,0.147080871
cub,6,28,3,12,5,0.959263471,0.253570636,0.109661222,0.085199801,0.049825162
cxr,27,72,52,68,5,0.013909238,0.001903348,0.000360818,0.000213026,0.000209132
cym,79,66,3,32,75,0.075529784,0.026829451,0.021836263,0.004643872,0.00365804
cyp,79,5,84,11,71,0.362185901,0.231109191,0.117823291,0.032349586,0.029244575
cze,78,67,77,69,66,1.810074769,1.440302943,1.264695823,1.016789051,0.966094554
deu,78,77,74,72,89,75.795615,34.77698458,32.22825335,31.24998374,16.28298628
dji,97,89,21,7,6,0.001995973,0.001332775,0.001138908,0.000680038,0.000466292
dma,5,55,67,84,93,0.026043449,0.016394293,0.016037564,0.002757398,0.002067711
dnk,1,74,54,89,3,3.436586333,3.071927938,2.124448307,2.058407313,1.888127858
dza,33,34,93,67,52,7.730389958,2.77842723,1.646921491,0.059109976,0.048445835
ecu,5,33,3,7,29,1.458169284,1.377280086,0.944757096,0.344535114,0.138072741
egy,33,84,65,5,68,3.042567789,0.456063015,0.429657177,0.28376963,0.147801352
eri,97,75,63,29,61,0.016858979,0.001476126,0.001127122,0.000964354,0.00086584
esh,27,77,84,3,72,0.000834693,0.000007456,0.000006047,0.000005383,0.000003133
esp,78,5,77,67,74,20.11329303,7.243600093,3.755219553,3.541957983,3.080984018
est,33,24,84,65,78,0.384654028,0.210887613,0.170490073,0.125524539,0.089952229
eth,7,61,21,71,5,0.241570737,0.031661811,0.028682052,0.026250411,0.02034713
fin,64,76,72,67,77,8.083067981,3.267074388,1.995308034,1.893998523,1.514741622
fji,6,84,97,3,24,0.206488421,0.147964503,0.052715834,0.045239854,0.031018158
flk,3,26,71,67,74,0.038572323,0.004401253,0.001206281,0.000452555,0.000409167
fra,78,77,79,74,67,31.03900353,16.72015152,15.21826143,10.76118058,9.316905745
fro,3,8,79,93,41,0.32259588,0.016680075,0.010320737,0.007004018,0.004200455
fsm,3,84,93,29,89,0.037429909,0.010689832,0.003213779,0.000360559,0.000099931
gab,33,24,28,63,23,2.101901935,0.443586841,0.169607893,0.017751206,0.00767171
gbr,78,75,33,77,89,20.03636253,15.80561693,15.64944564,14.04355667,10.49644821
geo,67,28,33,11,5,0.026530158,0.019366232,0.018434943,0.014733644,0.011839122
gha,7,66,68,24,79,0.520301542,0.197257693,0.143556828,0.119465397,0.093289458
gib,89,66,79,33,78,0.026878911,0.017370762,0.017014493,0.011041258,0.009392097
gin,28,66,3,33,7,0.523726758,0.077088889,0.037019442,0.031548051,0.022007268
gmb,66,3,22,5,89,0.116785654,0.022408231,0.009111248,0.003910708,0.000502148
gnb,3,5,24,26,52,0.042109371,0.013500342,0.002730491,0.001508141,0.001302069
gnq,33,24,7,63,3,0.07308707,0.053109462,0.004824982,0.004354138,0.002639293
grc,84,5,33,42,68,1.368108646,1.101205301,0.782144795,0.709495663,0.463635095
grd,7,3,5,4,11,0.007526855,0.002340479,0.00213743,0.001292815,0.001161429
grl,3,93,79,8,71,0.433046946,0.004622388,0.002063694,0.001644653,0.001146881
gtm,84,7,5,6,55,0.77100702,0.624150988,0.338438272,0.272587785,0.070309474
