country,top1,top2,top3,top4,top5,val1,val2,val3,val4,val5
fsm,3,89,93,65,74,0.049482995,0.000736879,0.000279739,0.000236753,0.000135085
gab,33,28,24,63,23,4.026112797,0.753893634,0.4395563,0.144607924,0.046016026
gbr,33,78,54,71,93,40.23756611,31.09016396,26.89780883,18.74477822,15.74969735
geo,33,28,67,11,97,0.493827985,0.422827348,0.230536278,0.116399877,0.102469257
gha,7,97,28,5,3,2.341358249,0.538217273,0.294744089,0.221347369,0.158477772
gib,33,79,77,78,93,0.218289106,0.031791692,0.006094716,0.004035629,0.003469616
gin,28,34,33,97,24,0.811714098,0.399802745,0.392125683,0.086122613,0.054744833
gmb,5,28,3,42,24,0.013489821,0.012744998,0.009455154,0.009241671,0.006530905
gnb,33,5,23,24,28,0.064089267,0.059979918,0.005842736,0.00361265,0.002546209
gnq,33,34,51,93,24,6.035766555,1.409290929,0.138202263,0.107424641,0.079936973
grc,33,5,68,67,54,3.252222049,1.911685506,1.482245608,1.199697115,1.184996771
grd,3,7,11,93,77,0.006495281,0.006160553,0.002545437,0.000539913,0.000479234
grl,3,93,79,89,73,0.537788639,0.018893615,0.011629899,0.002537922,0.001407503
gtm,84,7,5,6,33,1.184834281,1.01810188,1.015510024,0.805204665,0.262801598
gum,93,71,3,83,88,0.014111681,0.003092972,0.001731025,0.001630376,0.001016623
guy,97,28,4,6,3,0.445068474,0.138143158,0.107597635,0.095287393,0.05498066
hkg,77,97,66,89,76,9.173087887,8.140205109,8.054207903,6.6978586,5.482850858
hmd,12,58,5,75,82,0.000061389,0.000023349,0.000013711,0.000011316,0.000009553
hnd,84,7,5,77,3,2.595175804,0.704457933,0.437131575,0.393779975,0.241958107
hrv,79,33,77,84,54,1.269590504,1.086626128,0.94681035,0.500928257,0.431362005
hti,84,55,28,7,5,0.518252617,0.019291071,0.015339185,0.01431133,0.010402886
hun,76,77,78,71,74,16.53102617,7.701707369,7.363423814,5.998334653,3.685635535
idn,32,33,42,28,34,17.84502304,15.01262444,13.11707058,10.65865543,9.294338184
ind,33,66,84,65,28,29.68150285,27.68945976,13.05774589,12.0644025,11.93098978
iot,28,75,93,84,85,0.000914071,0.000495804,0.000362606,0.000254362,0.000213376
irl,54,51,89,55,75,39.04680204,32.34619624,8.09507942,6.215009266,6.14656965
irn,33,51,28,93,58,59.57287344,2.81423571,2.40974591,2.35848522,2.276289221
irq,33,97,5,59,79,43.22650043,1.123538015,0.112571115,0.042572236,0.019107282
isl,3,68,67,54,8,1.585229629,1.371286094,0.197101009,0.139217847,0.111312842
isr,66,54,77,87,76,12.51678529,6.812776549,4.565208277,1.908710314,1.750418171
ita,74,78,77,72,54,36.64267694,26.2512371,22.29026479,20.86988953,20.79496128
jam,28,11,5,51,6,0.450745228,0.109016263,0.054036877,0.050685343,0.041491544
jor,56,84,27,54,52,0.867470044,0.778804137,0.428581557,0.421805768,0.228992815
jpn,78,77,72,74,67,135.5275655,103.2061281,46.70838232,39.62429846,35.02410053
kaz,33,68,28,67,52,27.63421479,3.633952332,2.683590941,2.395035899,1.81065408
ken,7,29,5,84,33,0.98544241,0.565707373,0.433362343,0.198767682,0.142268921
kgz,52,84,5,97,35,0.222207599,0.210201089,0.188280697,0.145175795,0.043771899
khm,84,85,23,79,5,3.727902426,0.469446939,0.181381904,0.083590442,0.076136219
kir,3,79,87,58,54,0.016398045,0.002141692,0.000478235,0.000367874,0.000303433
kna,77,76,71,93,79,0.025133523,0.017875134,0.010139527,0.008096269,0.005140863
kor,77,78,76,79,33,88.62152993,41.19330258,41.04798519,35.14466319,28.36601065
kwt,33,34,51,58,89,48.27483081,2.002952817,1.900146072,1.023300881,0.37975674
lao,68,28,24,35,84,0.440896366,0.382343859,0.28795743,0.251010617,0.170240963
lbn,89,28,5,66,77,0.376793038,0.262554196,0.237296293,0.20312541,0.137798206
lbr,79,23,33,97,28,0.251782886,0.226895655,0.177092541,0.049431517,0.026495401
lby,33,34,97,51,67,39.28636334,3.785959309,0.961623775,0.438930789,0.308280338
lca,33,5,76,77,87,0.022971452,0.017782902,0.008309722,0.003009814,0.002568488
lka,84,7,62,66,3,3.509743289,1.038933578,0.426720813,0.403576895,0.202488028
lso,84,66,26,77,65,0.284265691,0.179349295,0.008852046,0.006850808,0.002821021
ltu,33,82,58,56,93,4.064300859,0.883272598,0.79709286,0.75990413,0.506120895
lux,67,76,68,74,89,3.761147035,1.104973342,0.762519569,0.749290643,0.708183851
lva,33,24,63,93,67,1.105149844,0.988345054,0.463675629,0.400120889,0.357406347
