country,top1,top2,top3,top4,top5,val1,val2,val3,val4,val5
mar,84,77,5,3,52,3.857180481,2.65772688,1.987628405,1.3644415,0.976957388
dom,84,67,77,87,89,1.010909237,0.900400029,0.558011749,0.551306695,0.550097911
ago,33,93,66,34,3,33.02862863,0.675750461,0.570215463,0.317776688,0.020762782
abw,33,4,78,93,72,3.855279037,0.061581505,0.033027764,0.015845291,0.010381367
afg,5,93,29,7,26,0.108186141,0.061941513,0.024477181,0.020947034,0.018459685
aia,11,78,74,79,76,0.003564387,0.002193948,0.001494558,0.00110324,0.000647635
alb,84,28,61,85,33,0.225693548,0.133616693,0.112028108,0.099464537,0.099254689
and,76,78,89,74,93,0.021364415,0.019411974,0.015867581,0.010240956,0.006768823
ant,33,79,93,97,72,2.651299493,0.169991141,0.127905733,0.063808835,0.049655637
are,33,34,66,78,97,64.70764044,5.002401924,4.399769282,3.891238664,3.023994095
arg,8,4,33,42,78,7.159026829,5.867089356,5.090737217,5.029972797,4.709389662
arm,67,66,11,68,28,0.198032862,0.132443126,0.108188142,0.103562011,0.081677603
asm,54,26,51,32,28,0.01621808,0.013168201,0.006323084,0.006131539,0.004987826
ata,87,71,77,54,75,0.000758296,0.000150675,0.000052055,0.000043,0.000026314
atf,3,66,65,69,26,0.002071212,0.000368473,0.000289394,0.000193008,0.000142445
atg,79,93,42,78,76,0.126839061,0.006690939,0.004110989,0.00380533,0.002206449
aus,28,32,68,97,33,32.76786237,17.8584083,11.84251239,8.601051148,7.971417917
aut,78,77,74,67,93,15.30762414,9.963715751,8.009265346,7.84163821,7.717174648
aze,33,5,93,34,68,12.10091411,0.180927864,0.161687815,0.098976833,0.068963004
bdi,7,97,87,63,21,0.051685134,0.016702895,0.003144236,0.002607187,0.002168275
bel,78,58,66,33,67,35.67391948,19.89704397,18.68340997,18.39236074,17.08659691
ben,65,26,28,5,12,0.214726348,0.12835398,0.077528112,0.038575153,0.024273475
bfa,26,5,22,61,42,0.271799915,0.019275411,0.018855149,0.008214607,0.004548287
bgd,84,65,3,61,26,10.14043776,0.74810861,0.493250491,0.244313306,0.153782337
bgr,68,84,33,67,77,2.308848104,1.814498067,1.491455766,1.112588276,0.745648308
bhr,68,33,69,28,93,2.039103825,1.90891323,0.240985163,0.204123617,0.201077393
bhs,33,79,11,58,89,0.6480423,0.550953647,0.233103069,0.140035911,0.119573978
bih,68,28,69,67,24,0.380774356,0.304582863,0.290977594,0.284524507,0.244070495
blr,93,33,56,67,78,8.110977218,4.211359459,1.351031816,0.627780095,0.429391183
blz,5,33,6,3,22,0.103815999,0.07591501,0.052885909,0.026262334,0.018966244
bmu,79,33,93,34,11,0.159652775,0.021086416,0.015704918,0.005197453,0.004414575
bol,34,28,33,68,42,1.432503116,0.575559505,0.215161885,0.135987059,0.109937128
bra,28,33,78,1,67,21.44639248,12.90610928,11.38842574,10.44146395,9.928127916
brb,33,54,51,34,11,0.076655684,0.062985825,0.044754015,0.037629534,0.035360435
brn,33,34,84,89,28,4.610392962,2.027166311,0.166409642,0.043448783,0.019314815
btn,68,42,67,52,63,0.074999237,0.039522933,0.037766422,0.014733849,0.005621022
bvt,89,68,4,66,76,0.000342459,0.000155626,0.000139125,0.000094356,0.000072509
bwa,66,28,93,1,27,1.433834592,0.725716301,0.149999316,0.061737063,0.052799035
caf,24,66,26,7,28,0.054180412,0.029503819,0.021048415,0.006381053,0.00444143
can,78,33,34,68,93,58.59618839,48.58450041,22.44789204,20.9765227,17.86713659
cck,77,55,89,72,78,0.000717501,0.000408389,0.000393326,0.000353938,0.000259134
che,54,97,88,89,77,27.4709408,19.4926398,13.27521792,11.80006939,9.286072732
chl,68,28,5,3,25,21.86573276,16.40681889,4.381645781,3.385383163,2.056784128
chn,77,75,76,84,89,172.0277439,168.611588,166.2853192,116.5949314,116.0961717
civ,7,33,5,23,24,2.835181856,1.570769729,0.497060182,0.374485979,0.299380409
cmr,33,24,7,5,68,2.407878665,0.660418086,0.381179937,0.257836649,0.163566097
cod,28,66,68,33,24,0.481941009,0.455070136,0.336320077,0.275928165,0.163464303
cog,33,28,68,24,66,5.517725412,0.343130808,0.321305501,0.267191394,0.082800518
cok,3,79,66,4,5,0.004795317,0.003510755,0.00097914,0.000870224,0.00086978
col,33,32,7,67,5,6.236783763,4.669608593,1.908160358,1.835897556,1.480443133
com,79,7,55,97,84,0.018949746,0.010464897,0.007250972,0.000929877,0.000271226
cpv,3,84,26,7,61,0.012029657,0.007131061,0.005241826,0.004642247,0.003018083
cri,77,5,75,87,93,4.546209615,3.017313122,2.572589494,0.633729148,0.486278769
cub,93,28,12,6,54,1.230125,0.916574184,0.239092991,0.222756709,0.088538328
cxr,27,93,56,75,51,0.014342792,0.001229593,0.001082734,0.00088879,0.000842124
cym,33,79,93,4,66,0.150848002,0.102357537,0.015091552,0.002807187,0.002489252
cyp,79,54,78,33,93,0.361684517,0.289881325,0.220340674,0.191851105,0.179958184
cze,78,77,74,75,67,17.55687325,9.242738534,6.67172775,6.22791226,4.800325891
deu,78,77,74,72,54,212.7121869,81.64570388,79.76973881,59.09902564,58.34087996
dji,0,33,94,97,21,0.110986401,0.023968641,0.018861891,0.006767397,0.00351797
