country,top1,top2,top3,top4,top5,val1,val2,val3,val4,val5
mar,84,77,5,3,52,3.031834562,1.926091958,1.287748822,1.03502233,0.792930795
dom,84,67,87,77,89,1.749252003,0.481496846,0.477284435,0.449408461,0.387768293
ago,33,66,34,3,27,18.36286027,0.603380092,0.074248836,0.024409359,0.018916633
abw,33,78,93,97,6,3.398225466,0.022052568,0.015038655,0.014527206,0.008836303
afg,5,93,28,21,29,0.061394108,0.040657714,0.02078611,0.01467119,0.01448586
aia,54,11,93,6,65,0.002833165,0.002581443,0.001383036,0.001267127,0.00049402
alb,84,61,85,28,33,0.131993115,0.098923545,0.063347937,0.041283073,0.037672597
and,6,78,89,76,74,0.033498286,0.021109392,0.020116946,0.014853065,0.006328623
ant,33,93,79,59,84,1.62300645,0.162715291,0.119377164,0.02711691,0.023972151
are,33,66,34,76,97,44.89932674,4.81691033,3.820880292,3.597562842,2.2423995
arg,33,8,4,42,22,5.223895373,4.552154348,3.426748365,2.985008285,2.791016165
arm,67,66,11,68,89,0.222970123,0.211282175,0.073124255,0.054608523,0.029621586
asm,26,8,28,72,74,0.003200729,0.003156371,0.001158991,0.000827373,0.000627297
ata,75,3,77,76,93,0.000703135,0.000467718,0.000148756,0.000118272,0.00009087
atf,34,3,71,77,5,0.013626335,0.008290128,0.000227124,0.000215912,0.000132722
atg,79,93,33,34,3,0.246018611,0.002959338,0.002504414,0.002430742,0.001960618
aus,28,32,68,33,1,18.70657087,15.75381876,6.568196558,6.147988883,4.673267989
aut,78,77,67,74,89,8.96447507,7.306880239,5.98491661,5.425915596,5.149983505
aze,33,5,58,67,26,3.161681187,0.167302064,0.048016133,0.046469815,0.040794802
bdi,7,66,97,79,78,0.067523061,0.003077737,0.001171252,0.0008215,0.000654821
bel,78,66,58,33,67,30.00735689,16.99505318,14.90968226,12.36387208,12.04889294
ben,26,5,28,24,12,0.146530669,0.046317694,0.034543374,0.018771751,0.015344358
bfa,26,22,5,6,61,0.202058023,0.01356684,0.007654568,0.004441428,0.003442352
bgd,84,65,3,61,85,7.301162572,0.562788997,0.404863174,0.217695736,0.103759163
bgr,84,68,33,67,77,1.609895893,1.174744435,0.91579927,0.860677989,0.473594044
bhr,33,68,28,89,84,1.380348406,1.040857413,0.215394744,0.124085667,0.123435925
bhs,79,33,11,93,58,1.05742343,0.434649495,0.232813726,0.143306676,0.111576161
bih,68,28,84,71,24,0.28323817,0.232471854,0.153025799,0.144612407,0.117581929
blr,93,33,56,67,78,5.070328977,2.472099471,0.864702107,0.385262127,0.263309238
blz,5,3,6,33,79,0.108974395,0.046275611,0.041721947,0.024773435,0.018601424
bmu,79,93,54,11,28,0.325598162,0.078015259,0.017798168,0.007077983,0.005133284
bol,34,33,28,8,5,0.881329659,0.268594488,0.164897712,0.098709494,0.089788487
bra,28,78,67,33,1,12.05852806,9.825669917,8.485196157,8.260818943,6.994082919
brb,11,33,51,54,79,0.062320847,0.04841526,0.036660861,0.033883658,0.025931043
brn,33,34,84,89,93,3.460439843,1.725674154,0.263728445,0.054556486,0.015018043
btn,67,68,89,52,65,0.025903677,0.022220656,0.017705712,0.013743219,0.01089592
bvt,76,87,67,24,66,0.000120117,0.000053719,0.000035651,0.000032253,0.000031149
bwa,66,28,1,84,27,3.12431922,0.390883127,0.043355338,0.033737491,0.030274875
caf,24,66,26,32,62,0.044194711,0.042510791,0.009922415,0.002835938,0.002542644
can,78,33,34,93,68,59.29796572,32.30352583,26.63457948,14.84421427,11.80846704
cck,78,69,82,58,1,0.000615962,0.000261256,0.000200358,0.000110372,0.000109105
che,54,97,88,89,77,18.03701385,13.88127041,10.20467342,9.331369442,7.881485429
chl,68,28,5,3,24,10.15645553,9.07247001,3.411688686,2.548770679,1.311476132
chn,75,76,77,84,89,136.0770449,123.5518957,112.6062026,90.04403906,84.58856688
civ,7,33,5,24,23,2.473504796,0.878350503,0.454043145,0.300801725,0.193822627
cmr,33,24,7,5,68,1.499422252,0.503959436,0.298547588,0.264476569,0.127898232
cod,66,28,33,24,68,0.528456039,0.297740743,0.212754093,0.084024677,0.074178113
cog,33,24,28,34,68,4.339964229,0.247617701,0.137525666,0.063438702,0.056083027
cok,3,5,79,66,71,0.008123018,0.001649879,0.001535145,0.001113933,0.000678895
col,33,32,7,5,78,4.969582457,3.567142321,1.648147999,1.278811831,0.941038097
com,7,55,3,74,4,0.015440412,0.003636603,0.00317795,0.001868142,0.000683778
cpv,3,84,61,77,71,0.011208666,0.00684156,0.002897779,0.000727397,0.000713962
cri,77,5,75,87,84,3.678761402,2.072338483,1.991724503,0.509317757,0.4617002
cub,93,12,6,28,3,0.877005405,0.213175208,0.193787335,0.15013806,0.086301234
cxr,27,56,54,77,87,0.009120579,0.003840941,0.000695749,0.000284503,0.000202651
cym,79,33,93,32,67,0.588111237,0.056740143,0.043120945,0.005637244,0.005417869
cyp,79,54,78,5,89,0.203204397,0.196881404,0.184041708,0.116538047,0.100818937
cze,78,77,75,74,67,10.51284917,5.946951179,4.29941438,4.171644527,3.549540384
deu,78,77,74,72,54,160.0638896,61.03244396,57.19556471,44.88373597,38.95598046
dji,78,55,74,27,6,0.027997854,0.008352079,0.004630474,0.004569787,0.003164865
dma,55,77,5,67,27,0.017394439,0.011997741,0.011285757,0.00736071,0.003471633
dnk,33,54,1,74,89,6.900641639,5.850436442,4.525683001,4.35115214,3.650515832
dza,33,34,93,79,52,26.33327595,9.270727044,0.737923076,0.333634416,0.220884987
ecu,33,5,3,29,7,5.568458071,2.424758806,1.15289532,0.34374975,0.286349605
egy,33,34,67,84,5,2.963281344,1.680765438,0.987890769,0.857745269,0.758148882
eri,63,78,29,61,22,0.006589742,0.003433423,0.002314986,0.001656024,0.001156262
esh,74,26,3,87,77,0.001309367,0.000168353,0.000146795,0.000059183,0.000019131
esp,78,5,77,54,67,37.06489473,10.89072783,7.326537202,6.995209514,6.570789895
est,33,76,78,24,77,1.476393593,1.163911683,0.466888737,0.452209505,0.338091202
eth,7,22,61,5,21,0.33799726,0.164832879,0.042749928,0.032259652,0.025978749
fin,76,64,67,72,74,14.00430716,6.610110793,4.92964129,3.256403929,2.868384105
fji,6,3,84,11,97,0.14219106,0.095903882,0.08285672,0.052846786,0.040488149
flk,3,26,93,1,68,0.137836095,0.003097037,0.001938556,0.001032831,0.000695098
fra,78,79,54,77,74,56.96717845,28.9265496,24.12475932,22.47420155,18.05288392
fro,3,8,29,93,41,0.438279035,0.045518899,0.00947226,0.008947812,0.003238743
fsm,3,84,28,29,66,0.043422312,0.000922869,0.000452683,0.000430514,0.000246961
gab,33,24,28,63,3,3.301558445,0.527989783,0.296617573,0.110836223,0.022998459
gbr,78,33,54,89,77,33.41506292,32.83008451,21.31622992,17.00878266,15.93594764
geo,33,28,11,5,67,0.353074315,0.225970047,0.171071154,0.081884392,0.077453091
gha,7,28,24,5,3,0.940499415,0.160903762,0.155536504,0.133097478,0.104698765
gib,79,33,89,66,78,0.11622572,0.024791639,0.023869303,0.010042416,0.008506919
gin,28,33,66,7,3,0.87125424,0.076059161,0.05647707,0.040115973,0.03470046
gmb,5,72,22,3,28,0.012956662,0.002588386,0.002512807,0.001785763,0.001029385
gnb,5,3,24,67,28,0.083298792,0.005536346,0.000704407,0.000581909,0.000497775
gnq,33,51,24,34,63,5.090161381,0.213641773,0.08483117,0.071774563,0.019690332
grc,5,33,84,68,67,1.423859811,1.295803944,1.222880311,1.036305897,0.892651761
grd,7,3,79,4,64,0.01422481,0.003624135,0.003297938,0.00288457,0.002376574
grl,3,28,93,89,29,0.46438742,0.023823182,0.013796973,0.002183881,0.002182411
gtm,84,5,7,6,33,1.769553768,0.672970279,0.645762818,0.403991625,0.253635729
gum,93,3,33,55,74,0.023041594,0.005659755,0.002442946,0.001647198,0.001411719
guy,6,97,28,3,4,0.117410631,0.106321305,0.098520343,0.05924015,0.047459223
hkg,77,84,76,89,75,10.37074187,8.331697063,6.092059,5.950971456,5.541909707
hmd,4,65,84,93,42,0.000064118,0.000061577,0.000032062,0.000013862,0.000011615
hnd,84,5,7,77,3,2.60488716,0.399563467,0.327433024,0.290925586,0.208680818
hrv,33,79,77,84,54,0.764216368,0.635630534,0.605767105,0.550143052,0.31059419
hti,84,5,55,65,7,0.413758621,0.011968712,0.00900892,0.007264981,0.006186201
