country,top1,top2,top3,top4,top5,val1,val2,val3,val4,val5
mar,84,77,3,5,27,2.395915645,0.808516479,0.783946953,0.630608756,0.458363839
dom,84,87,77,89,12,2.122229788,0.368817031,0.310078276,0.236211684,0.230777371
ago,33,66,3,34,93,5.054836338,0.510001028,0.038518553,0.02370144,0.005704235
abw,33,7,93,6,4,1.18689707,0.013276185,0.012612451,0.007715055,0.007368711
afg,5,26,21,65,24,0.032472799,0.01185113,0.010448487,0.007354935,0.005399591
aia,93,66,72,87,78,0.001269056,0.000464425,0.000352146,0.000291576,0.000246907
alb,84,61,74,85,69,0.109711686,0.078327022,0.015567003,0.01114152,0.010828317
and,89,71,28,78,74,0.00995982,0.005035847,0.00461518,0.004171425,0.003507973
ant,33,79,93,3,34,0.933374364,0.107381671,0.099666305,0.021085206,0.018370679
are,33,34,66,68,97,19.63164765,2.559447913,1.034954478,0.779971025,0.578633013
arg,33,4,8,78,22,3.859974507,2.689999238,2.611840044,1.757755704,1.580111634
arm,66,11,28,89,84,0.046018228,0.034608733,0.021946725,0.01683065,0.015092136
asm,26,71,8,78,74,0.002825171,0.002308942,0.001715005,0.001384828,0.000482164
ata,11,77,7,58,4,0.000062957,0.000027797,0.000014423,0.00000991,0.000002788
atf,4,77,11,78,76,0.000882569,0.000330413,0.000240419,0.000168114,0.000078844
atg,79,8,58,93,67,0.172701656,0.003035583,0.002590986,0.002214516,0.001252289
aus,28,32,68,33,1,7.467574092,6.610330725,4.179247625,4.040602354,2.976871772
aut,78,77,72,89,64,5.190348172,4.722112842,3.052199595,2.973434982,2.817032949
aze,33,26,5,72,12,1.144223305,0.023514253,0.019737027,0.014934233,0.014167146
bdi,7,28,64,61,56,0.023463361,0.002948782,0.001711615,0.000923203,0.000780966
bel,78,66,58,67,51,21.21484987,10.78697154,7.484774762,6.07575756,5.306982697
ben,26,4,61,22,5,0.239941855,0.01438589,0.012133529,0.010011554,0.008959884
bfa,26,61,22,93,5,0.073449662,0.009008745,0.00779491,0.004756826,0.004376072
bgd,84,65,3,61,26,4.660108989,0.389281655,0.292707866,0.220740518,0.059847382
bgr,84,67,68,33,35,1.024433434,0.402865222,0.387276546,0.347075656,0.191610947
bhr,33,68,84,93,89,0.862356913,0.590322842,0.18372728,0.108552867,0.079625109
bhs,11,79,33,3,58,0.263315368,0.258427008,0.186698387,0.068755056,0.068631772
bih,68,24,84,82,85,0.144350163,0.119088985,0.111783416,0.054700969,0.049339279
blr,93,78,33,56,65,3.610162867,0.731767696,0.612239728,0.41912842,0.379502693
blz,5,3,6,33,84,0.069511592,0.059538824,0.034505363,0.024269793,0.015529455
bmu,79,93,51,58,34,0.147978347,0.052881941,0.024690397,0.010518576,0.008948015
bol,8,34,42,33,28,0.183066201,0.169275025,0.080429968,0.074534099,0.071002905
bra,28,78,79,67,22,4.270911223,4.122942202,3.668832185,2.954419573,2.88802573
brb,33,6,76,11,77,0.033601965,0.020441429,0.019063508,0.015815968,0.013748116
brn,33,34,84,79,93,1.411200294,1.385527485,0.33254088,0.03793667,0.020452277
btn,52,67,63,84,65,0.008400468,0.008182765,0.002627233,0.001220337,0.001053318
bvt,89,59,84,87,7,0.003009831,0.000033974,0.000012362,0.0000059,0.000002702
bwa,93,28,1,77,84,1.010750918,0.079996276,0.05715275,0.020956692,0.01950134
caf,66,24,26,56,7,0.09434401,0.035918052,0.012292237,0.003003832,0.002890502
can,78,34,93,33,64,48.45602554,15.75778641,15.43255936,13.82492961,11.02150003
cck,72,93,71,77,85,0.000313933,0.000228722,0.000187984,0.000114673,0.000114353
che,54,97,88,72,77,8.928225634,8.521234074,6.798421178,5.566389716,5.497326817
chl,68,28,5,3,24,4.125344615,2.420540414,2.084391219,1.585555403,0.813825086
chn,84,89,77,75,76,50.81311472,49.07553777,39.84675635,36.10160013,36.04117717
civ,7,5,33,24,3,1.576666081,0.331887902,0.293409101,0.244091186,0.102136802
cmr,33,24,7,5,68,0.760608729,0.405456588,0.188251752,0.186101804,0.096783299
cod,66,33,35,28,68,0.697545646,0.113930715,0.087302764,0.080657724,0.046743362
cog,33,24,34,66,28,1.182853312,0.097573175,0.05274462,0.039049849,0.038601438
cok,66,75,5,67,84,0.003397302,0.000814389,0.000561151,0.00035356,0.000193066
col,33,32,7,5,84,3.299606636,1.373552782,0.964864997,0.731605766,0.546136368
com,7,55,67,89,94,0.03284443,0.002391609,0.000569858,0.000114222,0.000106427
cpv,84,61,67,71,56,0.00423854,0.003613545,0.001015994,0.000722717,0.0006767
cri,5,77,84,75,87,1.502469712,1.021953629,0.731336566,0.341223147,0.269825129
cub,6,28,12,3,5,0.576402717,0.219575563,0.134661479,0.075251691,0.065290424
cxr,27,56,78,76,68,0.007516921,0.00277348,0.000271714,0.000226238,0.000193942
cym,79,93,25,89,33,0.137898602,0.003356861,0.002706568,0.001581297,0.001498184
cyp,79,5,78,54,84,0.14884061,0.085500763,0.067787368,0.05418384,0.050014617
cze,78,77,74,69,67,4.832518324,3.11882736,1.917602291,1.640186104,1.427186028
deu,78,77,74,72,71,97.08046391,38.12473793,32.55191407,27.15168103,18.39491614
dji,79,21,5,61,93,0.002811212,0.002506606,0.000994202,0.000872853,0.000765888
dma,55,5,77,51,75,0.018283328,0.011085566,0.008135709,0.003906542,0.00314379
dnk,54,1,74,33,89,3.288837171,3.220745407,2.72834188,2.604558621,2.008711866
dza,33,34,93,52,67,9.403709154,5.266006751,0.474842477,0.086719496,0.046964146
ecu,33,5,3,29,7,2.013852433,1.583268469,0.726283876,0.235191976,0.142063184
egy,33,84,65,5,67,1.356980807,0.606114022,0.416996523,0.267528361,0.163464339
eri,61,77,87,3,68,0.002846723,0.001541333,0.00104769,0.000898811,0.000598779
esh,3,26,68,76,75,0.004029817,0.000239002,0.000186471,0.00014681,0.000124316
esp,78,5,77,74,89,21.88381769,6.881136554,4.639496719,3.52951047,3.386456526
est,76,33,24,84,82,0.68568822,0.658059984,0.311796947,0.192505365,0.186363646
eth,7,22,61,21,5,0.133659998,0.036144826,0.031201886,0.029811549,0.023060444
fin,76,64,77,72,67,8.271231851,7.78574987,2.225387657,2.028984159,1.673539242
fji,84,6,3,97,24,0.153677523,0.091959824,0.080383001,0.030824814,0.016799338
flk,3,26,56,93,29,0.060755475,0.002324567,0.000942036,0.000885082,0.000769329
fra,78,79,77,54,74,38.23019928,25.78225684,17.15066764,11.88689583,10.78663359
fro,3,8,93,29,2,0.416842407,0.023430121,0.00838572,0.007499671,0.001486104
fsm,3,84,93,72,29,0.07054493,0.016889408,0.002083108,0.000215439,0.000188271
gab,33,24,28,63,3,2.012727557,0.436866106,0.115773933,0.052459038,0.014815964
gbr,75,78,33,77,71,19.61083717,17.79757672,17.6051115,15.30324047,12.98834165
geo,33,28,11,5,67,0.181625943,0.097627066,0.054986753,0.02997147,0.016560639
gha,7,68,24,28,3,0.426856541,0.191983295,0.108645743,0.09651535,0.093652525
gib,79,89,33,66,72,0.05688957,0.0122856,0.004585378,0.00453745,0.002213442
gin,28,66,3,33,7,0.549621882,0.132182545,0.039805874,0.028966818,0.014450104
gmb,22,3,5,28,72,0.008837379,0.005845825,0.002217034,0.001866336,0.000829861
gnb,33,5,3,26,24,0.058929383,0.008845925,0.003876302,0.001165419,0.000873927
gnq,33,24,51,3,34,1.416251677,0.093187692,0.049815204,0.010320178,0.008987724
grc,84,5,33,68,65,1.11611835,0.985533898,0.788045207,0.597618215,0.424224915
grd,7,93,77,71,3,0.016830472,0.008948631,0.006905059,0.005372204,0.003853699
grl,3,93,79,72,61,0.328206822,0.017266732,0.006981554,0.001511276,0.001290574
gtm,84,7,5,6,89,1.535086153,0.518893425,0.4936035,0.280621414,0.11459652
