year;origin;destination;
1993;arg;omn;
1993;arg;pak;
1993;arg;pan;
1993;arg;per;
1993;arg;phl;
1993;arg;plw;
1993;arg;pol;
1993;arg;prt;
1993;arg;pry;
1993;arg;pyf;
1993;arg;qat;
1993;arg;reu;
1993;arg;rou;
1993;arg;rus;
1993;arg;sau;
1993;arg;scg;
1993;arg;sdn;
1993;arg;sen;
1993;arg;sgp;
1993;arg;shn;
1993;arg;sle;
1993;arg;slv;
1993;arg;sur;
1993;arg;svn;
1993;arg;swe;
1993;arg;syr;
1993;arg;tgo;
1993;arg;tha;
1993;arg;tto;
1993;arg;tun;
1993;arg;tur;
1993;arg;tza;
1993;arg;ury;
1993;arg;usa;
1993;arg;vct;
1993;arg;ven;
1993;arg;vnm;
1993;arg;vut;
1993;arg;yem;
1993;arg;zaf;
1993;arg;zmb;
1993;arg;zwe;
1993;arm;aut;
1993;arm;bel;
1993;arm;can;
1993;arm;che;
1993;arm;chn;
1993;arm;col;
1993;arm;cze;
1993;arm;deu;
1993;arm;dnk;
1993;arm;esp;
1993;arm;fin;
1993;arm;fra;
1993;arm;gbr;
1993;arm;glp;
1993;arm;grc;
1993;arm;hkg;
1993;arm;hrv;
1993;arm;hun;
1993;arm;ind;
1993;arm;isr;
1993;arm;ita;
1993;arm;jpn;
1993;arm;kor;
1993;arm;mys;
1993;arm;nld;
1993;arm;nzl;
1993;arm;per;
1993;arm;pol;
1993;arm;rou;
1993;arm;sau;
1993;arm;svn;
1993;arm;swe;
1993;arm;tha;
1993;arm;tur;
1993;arm;usa;
1993;arm;zaf;
1993;aus;afg;
1993;aus;ago;
1993;aus;alb;
1993;aus;ant;
1993;aus;are;
1993;aus;arg;
1993;aus;atf;
1993;aus;atg;
1993;aus;aut;
1993;aus;aze;
1993;aus;bdi;
1993;aus;bel;
1993;aus;ben;
1993;aus;bfa;
1993;aus;bgd;
1993;aus;bgr;
1993;aus;bhr;
1993;aus;bhs;
1993;aus;bih;
1993;aus;blr;
1993;aus;blz;
1993;aus;bmu;
1993;aus;bol;
1993;aus;bra;
1993;aus;brb;
1993;aus;brn;
1993;aus;btn;
1993;aus;caf;
1993;aus;can;
1993;aus;cck;
1993;aus;che;
1993;aus;chl;
1993;aus;chn;
1993;aus;civ;
1993;aus;cmr;
1993;aus;cod;
1993;aus;cog;
1993;aus;cok;
1993;aus;col;
1993;aus;com;
1993;aus;cpv;
1993;aus;cri;
1993;aus;cub;
1993;aus;cxr;
1993;aus;cym;
1993;aus;cyp;
1993;aus;cze;
1993;aus;deu;
1993;aus;dji;
1993;aus;dma;
1993;aus;dnk;
1993;aus;dom;
1993;aus;dza;
1993;aus;ecu;
1993;aus;egy;
1993;aus;esp;
1993;aus;est;
1993;aus;eth;
1993;aus;fin;
1993;aus;fji;
1993;aus;flk;
1993;aus;fra;
1993;aus;fro;
1993;aus;fsm;
1993;aus;gab;
1993;aus;gbr;
1993;aus;geo;
1993;aus;gha;
1993;aus;gin;
1993;aus;glp;
1993;aus;gmb;
1993;aus;gnb;
1993;aus;grc;
1993;aus;grd;
1993;aus;grl;
1993;aus;gtm;
1993;aus;guf;
1993;aus;guy;
1993;aus;hkg;
1993;aus;hnd;
1993;aus;hrv;
1993;aus;hti;
1993;aus;hun;
1993;aus;idn;
1993;aus;ind;
1993;aus;iot;
1993;aus;irl;
1993;aus;irn;
1993;aus;irq;
1993;aus;isl;
1993;aus;isr;
1993;aus;ita;
1993;aus;jam;
1993;aus;jor;
1993;aus;jpn;
1993;aus;kaz;
1993;aus;ken;
1993;aus;kgz;
1993;aus;khm;
1993;aus;kir;
1993;aus;kna;
1993;aus;kor;
1993;aus;kwt;
1993;aus;lao;
1993;aus;lbn;
1993;aus;lby;
1993;aus;lca;
1993;aus;lka;
1993;aus;ltu;
1993;aus;lva;
1993;aus;mac;
1993;aus;mar;
1993;aus;mda;
1993;aus;mdg;
1993;aus;mdv;
1993;aus;mex;
1993;aus;mhl;
1993;aus;mkd;
1993;aus;mli;
1993;aus;mlt;
1993;aus;mmr;
1993;aus;mng;
1993;aus;mnp;
1993;aus;moz;
1993;aus;mrt;
1993;aus;msr;
1993;aus;mtq;
1993;aus;mus;
1993;aus;mwi;
1993;aus;mys;
1993;aus;ncl;
1993;aus;ner;
1993;aus;nfk;
1993;aus;nga;
1993;aus;nic;
1993;aus;niu;
1993;aus;nld;
1993;aus;nor;
1993;aus;npl;
1993;aus;nru;
1993;aus;nzl;
1993;aus;omn;
1993;aus;pak;
1993;aus;pan;
1993;aus;per;
1993;aus;phl;
1993;aus;plw;
1993;aus;png;
1993;aus;pol;
1993;aus;prk;
1993;aus;prt;
1993;aus;pry;
1993;aus;pyf;
1993;aus;qat;
1993;aus;reu;
1993;aus;rou;
1993;aus;rus;
1993;aus;rwa;
1993;aus;sau;
1993;aus;sdn;
1993;aus;sen;
1993;aus;sgp;
1993;aus;slb;
1993;aus;sle;
1993;aus;slv;
1993;aus;som;
1993;aus;stp;
1993;aus;sur;
1993;aus;svk;
1993;aus;svn;
1993;aus;swe;
1993;aus;syc;
