country,top1,top2,top3,top4,top5,val1,val2,val3,val4,val5
mar,84,77,56,27,52,3.224945058,2.773921838,2.416720427,1.711946007,1.676182094
dom,84,87,89,12,77,0.753228975,0.699165046,0.620446105,0.514612062,0.49586934
abw,11,12,89,93,52,0.072131096,0.055999376,0.005495956,0.004018804,0.003980315
afg,93,65,7,22,29,0.280340061,0.072759125,0.054147304,0.020641417,0.001014803
alb,33,84,67,28,85,0.500850539,0.292232324,0.192105813,0.182746507,0.164431199
and,89,77,78,84,93,0.019661265,0.01646408,0.013494728,0.010507822,0.006346058
arg,8,4,78,42,22,11.67627232,10.68578953,9.520477841,5.48481043,3.739188372
arm,28,68,11,66,67,0.303693947,0.20621399,0.185368174,0.108012364,0.107651669
atg,65,76,69,89,74,0.007843659,0.002726232,0.002386401,0.001858789,0.001499173
aus,28,32,97,34,93,76.77509092,43.00181003,16.07677823,15.1658118,13.64244077
aut,93,78,77,74,72,13.28607901,13.11385357,10.88260433,9.868850897,9.583397388
aze,33,93,34,5,6,20.25165422,1.347096391,0.661583661,0.285433154,0.214911259
bdi,97,7,28,78,55,0.105196341,0.080453638,0.018444015,0.006180976,0.005977752
bel,93,54,78,51,58,49.85877456,46.97522372,41.72191901,31.50601247,25.95143041
ben,26,67,5,93,97,0.148751476,0.064212569,0.059615408,0.037338002,0.019511176
bgr,93,68,77,84,4,4.420703994,3.282285772,1.715241259,1.612645239,1.306099077
bhr,93,68,28,78,69,9.898692084,1.833731288,1.439400307,0.395142885,0.393339232
bhs,93,58,3,51,55,0.319853291,0.155614365,0.082213024,0.075682075,0.049190209
bih,82,68,93,67,28,0.492643769,0.38690631,0.371585669,0.359343989,0.305961414
blr,93,56,59,78,33,16.4050745,3.0070142,2.9624056,2.8966984,2.5351979
blz,5,33,6,3,4,0.139982681,0.093150485,0.055766795,0.029010417,0.00713387
bmu,89,11,71,93,74,0.00206354,0.001875212,0.001496007,0.000963179,0.000538489
bol,34,28,97,8,68,5.478927541,2.084095044,1.069949866,0.535212555,0.522574688
bra,28,33,22,1,6,35.917309,20.54459602,17.3606046,15.28970441,12.88852196
