country,top1,top2,top3,top4,top5,val1,val2,val3,val4,val5
gtm,84,7,5,6,54,0.5311,0.3636,0.2517,0.1512,0.0599
guf,3,4,97,93,28,0.0217,0.0132,0.0081,0.0024,0.0023
guy,6,97,28,3,4,0.1064,0.0980,0.0979,0.0206,0.0157
hkg,84,89,65,77,75,10.5800,5.4100,5.0414,4.9743,2.9879
hnd,84,5,3,7,1,0.4839,0.2992,0.1606,0.1424,0.0401
hrv,84,33,79,58,82,0.5381,0.3010,0.1605,0.1513,0.1262
hti,84,89,7,5,65,0.0926,0.0163,0.0138,0.0087,0.0086
hun,84,77,78,1,5,0.8710,0.6324,0.5460,0.5113,0.3984
idn,33,63,34,84,65,5.5273,4.3106,3.8649,3.3627,2.5133
ind,66,84,65,67,28,3.6835,3.6727,2.9242,0.9038,0.8849
iot,25,65,51,89,7,0.0023,0.0003,0.0001,0.0001,0.0001
irl,75,51,89,1,54,3.6494,3.0264,2.1411,1.9048,1.5435
irn,33,65,5,67,68,12.3344,0.5698,0.5675,0.2768,0.0787
irq,33,68,74,97,65,0.0290,0.0012,0.0011,0.0009,0.0006
isl,3,68,8,41,67,1.0131,0.1073,0.0821,0.0404,0.0297
isr,66,77,76,89,84,3.6902,0.6971,0.6551,0.6015,0.5469
ita,74,72,84,78,77,11.1537,10.2467,9.3658,9.1231,8.1741
jam,28,84,6,5,11,0.5216,0.4135,0.0836,0.0823,0.0596
jor,56,27,54,0,5,0.1766,0.1200,0.0413,0.0324,0.0215
jpn,78,77,75,76,72,73.3590,40.8246,30.6297,29.1891,18.9266
kaz,68,67,33,52,56,0.2426,0.2365,0.0708,0.0485,0.0314
ken,7,5,29,3,66,0.4846,0.1302,0.0905,0.0525,0.0353
kgz,67,56,78,68,28,0.0420,0.0057,0.0054,0.0043,0.0034
khm,24,93,84,23,3,0.0963,0.0671,0.0367,0.0200,0.0026
kir,3,22,93,89,84,0.0043,0.0014,0.0009,0.0001,0.0001
kna,6,77,84,71,75,0.0123,0.0122,0.0040,0.0022,0.0013
kor,77,65,76,84,67,10.0644,7.8413,6.0396,5.8135,4.3400
kwt,33,34,56,84,28,7.5162,0.3176,0.0611,0.0464,0.0398
lao,24,84,7,63,29,0.0608,0.0501,0.0059,0.0032,0.0016
lbn,89,5,84,66,51,0.1261,0.0664,0.0504,0.0335,0.0132
lbr,66,79,33,28,51,0.2870,0.2180,0.0767,0.0103,0.0075
lby,33,34,51,56,67,6.9520,0.1419,0.1207,0.0549,0.0495
lca,5,84,77,11,64,0.0727,0.0238,0.0050,0.0034,0.0022
lka,84,7,66,89,65,1.3047,0.2447,0.2241,0.1099,0.0885
ltu,33,84,56,28,2,0.3834,0.0631,0.0574,0.0568,0.0526
lva,33,24,68,28,67,0.4817,0.0616,0.0587,0.0518,0.0372
mac,84,89,65,61,3,1.0206,0.1935,0.1638,0.0359,0.0268
mda,67,35,84,65,78,0.0431,0.0253,0.0106,0.0101,0.0079
mdg,7,3,84,5,65,0.1277,0.0934,0.0499,0.0320,0.0132
mdv,3,84,29,8,63,0.0314,0.0262,0.0018,0.0013,0.0004
mex,33,78,77,76,71,7.2427,7.1538,6.4291,3.8980,1.9985
mhl,93,3,42,29,76,0.0074,0.0023,0.0009,0.0004,0.0003
mkd,84,67,5,65,68,0.2297,0.0883,0.0849,0.0615,0.0609
mli,26,77,66,76,97,0.1267,0.0152,0.0141,0.0080,0.0032
mlt,77,84,79,89,76,0.5135,0.1297,0.1167,0.0958,0.0400
mmr,24,5,3,66,84,0.3450,0.1226,0.0914,0.0784,0.0490
mng,26,28,84,21,97,0.0330,0.0294,0.0224,0.0144,0.0108
mnp,93,28,78,65,3,0.0019,0.0002,0.0002,0.0001,0.0001
moz,3,5,26,67,27,0.0598,0.0304,0.0138,0.0105,0.0075
