country,top1,top2,top3,top4,top5,val1,val2,val3,val4,val5
mar,84,77,5,3,52,3.281215961,2.271689268,1.320837373,1.218505671,0.826838587
dom,84,67,77,87,89,1.571824239,0.929583401,0.528945685,0.49250985,0.474987991
ago,33,66,34,3,27,26.69019048,0.559212421,0.229001437,0.026064206,0.017883745
abw,33,93,97,4,6,3.671351463,0.026442251,0.011815052,0.009233305,0.006529709
afg,5,93,21,7,29,0.074857792,0.029917372,0.021717962,0.018374019,0.016396022
aia,11,78,77,65,72,0.003567327,0.001952065,0.000795224,0.000728477,0.000659551
alb,84,61,85,28,33,0.155037816,0.101454494,0.08425379,0.074421447,0.037284002
and,6,89,76,78,74,0.046807511,0.0206726,0.015584106,0.015574973,0.007768239
ant,33,93,79,2,72,2.482101823,0.158002092,0.140287751,0.053569087,0.035198129
are,33,34,66,78,76,59.70911702,4.883359688,3.824245498,2.757154086,2.652018354
arg,33,8,78,42,4,5.244893459,5.033872534,3.510974003,3.463027403,3.419066997
arm,66,67,28,68,11,0.166830743,0.157498652,0.114404946,0.092011475,0.072287543
asm,28,8,78,77,72,0.076576033,0.003731262,0.00212751,0.001528927,0.000862878
ata,76,77,3,51,54,0.000376359,0.000222479,0.000175642,0.000144759,0.000122855
atf,69,3,72,51,84,0.001656271,0.001490403,0.000896643,0.000251937,0.000098915
atg,79,93,5,7,66,0.297349197,0.004357462,0.001744002,0.001010881,0.00091054
aus,28,32,68,33,97,24.75857609,16.84198279,9.553389368,6.824394139,6.436902706
aut,78,77,74,67,72,12.36527128,8.462245159,6.50022709,6.482587905,5.911931999
aze,33,5,58,68,26,7.185994934,0.151073106,0.075030467,0.055401954,0.042488554
bdi,7,97,78,29,33,0.03369519,0.018324056,0.003818997,0.003044803,0.002905849
bel,78,58,66,33,67,30.72687893,16.93473886,16.56216379,15.8539391,14.83837357
ben,26,28,5,34,55,0.108577856,0.067857184,0.045090248,0.021149198,0.020498704
bfa,26,22,5,97,61,0.233330734,0.012870041,0.010543817,0.005453808,0.004912074
bgd,84,65,3,61,26,9.455176992,0.660413641,0.501765321,0.240198795,0.138090201
bgr,68,84,33,67,77,2.242616462,1.790791335,1.413982689,1.020910622,0.636570044
bhr,68,33,28,93,97,1.886917467,1.798237333,0.276908367,0.24797486,0.19712241
bhs,79,11,33,93,58,1.015236511,0.255410846,0.204481135,0.189670916,0.131192801
bih,28,68,67,24,69,0.439843304,0.342650787,0.231108222,0.192834041,0.187768646
blr,33,56,67,78,72,3.879177914,0.93305888,0.519831582,0.321538866,0.307711314
blz,5,89,33,6,3,0.100930606,0.083795735,0.064048585,0.053312337,0.039393525
bmu,79,33,28,93,54,0.335185155,0.064000132,0.015676968,0.011328121,0.005686009
bol,34,28,33,8,68,1.410036078,0.41134126,0.259901726,0.202850783,0.136985187
bra,28,78,33,67,1,15.66207537,10.62433347,10.46387273,8.873884848,7.821723307
brb,54,33,11,51,6,0.037540143,0.036789265,0.033328658,0.03181771,0.019874913
brn,33,34,84,89,66,4.803389928,1.998163401,0.190986119,0.0687458,0.022307655
btn,89,68,67,42,52,0.058406519,0.043374199,0.022687426,0.016233969,0.00978556
bvt,89,51,6,76,78,0.004892353,0.001177859,0.000444715,0.000171896,0.000121844
bwa,66,28,27,1,84,2.453748448,0.493727658,0.131517079,0.037179502,0.032921956
caf,24,66,26,3,7,0.051290797,0.036783361,0.008571772,0.006140052,0.001275936
can,78,33,34,68,93,59.56558161,42.17119549,25.13608285,17.18692683,16.41003454
